regime,m,method,mean_saved_fraction,mean_risk,max_risk,mean_cost,mean_groups
active,200,CP_calendar,0,0,-0,384,0
active,200,audit_all,0,0,-0,384,0
active,200,joint_clean,0.302963095936,0.0471480574026,0.0484269347237,267.662171161,1
active,200,joint_conditional_PAC,0.0144990671722,0.00177670718845,0.00180770234666,378.432358206,1
active,200,known_rate_calendar,0.48984375,0.0497541729824,0.0499829885581,195.9,0
active,200,pilot_partition,0.322853294781,0.0413836965822,0.0479089047181,260.024334804,1.9
active,200,plugin_calendar,0.625520833333,0.156244360668,0.252382436372,143.8,0
active,200,plugin_global_TTL,0.374739583333,0.0474320644904,0.0692202790159,240.1,0
active,200,rate_oracle_partition,0.327406379867,0.0435806983372,0.0447625376187,258.275950131,2
active,200,singleton_clean,0.0838012828812,0.00999808868502,0.0108247248842,351.820307374,8
active,1000,CP_calendar,0.0203125,0.00139285595889,0.00272833195885,376.2,0
active,1000,audit_all,0,0,-0,384,0
active,1000,joint_clean,0.0203768223058,0.00812438464289,0.00971665760171,376.175300235,1
active,1000,joint_conditional_PAC,0.00380231144493,0.000478052404737,0.0005476090856,382.539912405,1
active,1000,known_rate_calendar,0.48984375,0.0497541729824,0.0499829885581,195.9,0
active,1000,pilot_partition,0.303878801837,0.0393834127754,0.0447168857192,267.310540094,5.8
active,1000,plugin_calendar,0.625520833333,0.156244360668,0.252382436372,143.8,0
active,1000,plugin_global_TTL,0.374739583333,0.0474320644904,0.0692202790159,240.1,0
active,1000,rate_oracle_partition,0.335520909824,0.0361981191324,0.0383934254431,255.159970627,6.9
active,1000,singleton_clean,0.262767057755,0.0340191857485,0.0354951585533,283.097449822,8
active,5000,CP_calendar,0.0752604166667,0.00549434001145,0.0105207322016,355.1,0
active,5000,audit_all,0,0,-0,384,0
active,5000,joint_clean,5.99362456333e-09,2.97691782387e-09,6.23404610968e-09,383.999997698,1
active,5000,joint_conditional_PAC,4.04433309065e-09,6.61854811068e-10,1.34653351037e-09,383.999998447,1
active,5000,known_rate_calendar,0.48984375,0.0497541729824,0.0499829885581,195.9,0
active,5000,pilot_partition,0.0820674811745,0.0241183910632,0.0330149760786,352.486087229,6.2
active,5000,plugin_calendar,0.625520833333,0.156244360668,0.252382436372,143.8,0
active,5000,plugin_global_TTL,0.374739583333,0.0474320644904,0.0692202790159,240.1,0
active,5000,rate_oracle_partition,0.148022369527,0.0341282257075,0.0364458490588,327.159410101,8
active,5000,singleton_clean,0.136465725215,0.0254802274191,0.0275933978484,331.597161518,8
mixed,200,CP_calendar,0,0,-0,384,0
