regime,m,method,mean_saved_fraction,mean_risk,max_risk,mean_cost,mean_groups
mixed,200,audit_all,0,0,-0,384,0
mixed,200,joint_clean,0.296642105613,0.0469615735296,0.0493373349285,270.089431445,1
mixed,200,joint_conditional_PAC,0.0142007442891,0.00178261284499,0.00182708907068,378.546914193,1
mixed,200,known_rate_calendar,0.82421875,0.0491634246129,0.0499806008573,67.5,0
mixed,200,pilot_partition,0.469716984699,0.0239412566345,0.0272274971436,203.628677875,2
mixed,200,plugin_calendar,0.846875,0.068338575022,0.108623748205,58.8,0
mixed,200,plugin_global_TTL,0.38515625,0.0424526860631,0.0831924800857,236.1,0
mixed,200,rate_oracle_partition,0.469716984699,0.0239412566345,0.0272274971436,203.628677875,2
mixed,200,singleton_clean,0.0831603268348,0.00748700181754,0.00813069640526,352.066434495,8
mixed,1000,CP_calendar,0.0208333333333,4.12338313972e-05,4.79777095228e-05,376,0
mixed,1000,audit_all,0,0,-0,384,0
mixed,1000,joint_clean,0.0190947703605,0.0079916783774,0.0124572344522,376.667608182,1
mixed,1000,joint_conditional_PAC,0.00355274943537,0.000435804262691,0.000618692803657,382.635744217,1
mixed,1000,known_rate_calendar,0.82421875,0.0491634246129,0.0499806008573,67.5,0
mixed,1000,pilot_partition,0.59076384176,0.0178406092811,0.0195855275855,157.146684764,3.2
mixed,1000,plugin_calendar,0.846875,0.068338575022,0.108623748205,58.8,0
mixed,1000,plugin_global_TTL,0.38515625,0.0424526860631,0.0831924800857,236.1,0
mixed,1000,rate_oracle_partition,0.5982828485,0.0181268235056,0.0203206594799,154.259386176,3
mixed,1000,singleton_clean,0.313085279293,0.010162274239,0.010753954514,263.775252751,8
mixed,5000,CP_calendar,0.109375,0.000216458420613,0.000251857296197,342,0
mixed,5000,audit_all,0,0,-0,384,0
mixed,5000,joint_clean,8.98192015208e-09,4.43902424965e-09,1.945289933e-08,383.999996551,1
mixed,5000,joint_conditional_PAC,5.98450345946e-09,9.71215664974e-10,4.1780927258e-09,383.999997702,1
mixed,5000,known_rate_calendar,0.82421875,0.0491634246129,0.0499806008573,67.5,0
mixed,5000,pilot_partition,0.440297514522,0.0117943603541,0.0136937338786,214.925754424,3.2
mixed,5000,plugin_calendar,0.846875,0.068338575022,0.108623748205,58.8,0
mixed,5000,plugin_global_TTL,0.38515625,0.0424526860631,0.0831924800857,236.1,0
mixed,5000,rate_oracle_partition,0.595275971563,0.0116282703468,0.0136682270487,155.41402692,5.5
mixed,5000,singleton_clean,0.524177816567,0.0067774275818,0.00746892455964,182.715718438,8
stable,200,CP_calendar,0,0,-0,384,0
stable,200,audit_all,0,0,-0,384,0
stable,200,joint_clean,0.637848237183,0.00322533607337,0.00353720675025,139.066276922,1
stable,200,joint_conditional_PAC,0.0305192568222,0.000115531002,0.000125988571593,372.28060538,1
stable,200,known_rate_calendar,1,0.0209978566296,0.0240443773761,0,0
stable,200,pilot_partition,0.634265604203,0.00317224053812,0.00353720675025,140.442007986,1.1
stable,200,plugin_calendar,0.997916666667,0.0205637934715,0.0225956161311,0.8,0
stable,200,plugin_global_TTL,0.98203125,0.0189645511789,0.0225956161311,6.9,0
stable,200,rate_oracle_partition,0.637848237183,0.00322533607337,0.00353720675025,139.066276922,1
stable,200,singleton_clean,0.0926624702564,0.000350879114011,0.000385816522727,348.417611422,8
stable,1000,CP_calendar,0.0208333333333,4.12338313972e-05,4.79777095228e-05,376,0
stable,1000,audit_all,0,0,-0,384,0
stable,1000,joint_clean,0.832675079111,0.0125468541736,0.0138661387404,64.2527696213,1
stable,1000,joint_conditional_PAC,0.155471448241,0.00061424423818,0.000675390171017,324.298963876,1
stable,1000,known_rate_calendar,1,0.0209978566296,0.0240443773761,0,0
stable,1000,pilot_partition,0.817158304414,0.0118993452368,0.0138661387404,70.211211105,1.3
stable,1000,plugin_calendar,0.997916666667,0.0205637934715,0.0225956161311,0.8,0
stable,1000,plugin_global_TTL,0.98203125,0.0189645511789,0.0225956161311,6.9,0
stable,1000,rate_oracle_partition,0.832675079111,0.0125468541736,0.0138661387404,64.2527696213,1
stable,1000,singleton_clean,0.414976697979,0.00192094569313,0.00210769720635,224.648947976,8
stable,5000,CP_calendar,0.109375,0.000216458420613,0.000251857296197,342,0
stable,5000,audit_all,0,0,-0,384,0
stable,5000,joint_clean,0.55369617576,0.011613508192,0.012596438049,171.380668508,1
stable,5000,joint_conditional_PAC,0.375563971877,0.00203046673203,0.00211112608377,239.783434799,1
stable,5000,known_rate_calendar,1,0.0209978566296,0.0240443773761,0,0
stable,5000,pilot_partition,0.584539376446,0.0123582533319,0.0163979519853,159.536879445,1.3
stable,5000,plugin_calendar,0.997916666667,0.0205637934715,0.0225956161311,0.8,0
stable,5000,plugin_global_TTL,0.98203125,0.0189645511789,0.0225956161311,6.9,0
stable,5000,rate_oracle_partition,0.87459895424,0.0122535906443,0.0135751914708,48.1540015718,5.3
stable,5000,singleton_clean,0.777563224094,0.00800440602101,0.00914565963985,85.4157219479,8
