regime,m,method,n,failures,empirical_risk,exact_risk,empirical_cost,exact_cost
stable,200,joint_clean,2000,8,0.004,0.00352371758274,138.048,138.433053766
stable,200,singleton_clean,2000,0,0,0.000385816522727,348.126,348.13121284
stable,200,pilot_partition,2000,8,0.004,0.00352371758274,138.048,138.433053766
stable,1000,joint_clean,2000,27,0.0135,0.0128295998906,66.8055,70.2996089977
stable,1000,singleton_clean,2000,3,0.0015,0.00210143948938,225.667,225.958376244
stable,1000,pilot_partition,2000,22,0.011,0.0100877818242,75.248,77.0316120053
stable,5000,joint_clean,2000,21,0.0105,0.012596438049,177.984,182.828967988
stable,5000,singleton_clean,2000,14,0.007,0.00914565963985,88.209,88.8949430626
stable,5000,pilot_partition,2000,25,0.0125,0.0163979519853,125.408,130.098045684
mixed,200,joint_clean,2000,105,0.0525,0.0481478421048,286.728,282.429121831
mixed,200,singleton_clean,2000,22,0.011,0.00813069640526,352.356,352.21927628
mixed,200,pilot_partition,2000,47,0.0235,0.0272274971436,211.675,208.981842462
mixed,1000,joint_clean,2000,12,0.006,0.00455833398817,379.8945,380.202379625
mixed,1000,singleton_clean,2000,21,0.0105,0.0095430330606,266.5845,267.372432648
mixed,1000,pilot_partition,2000,45,0.0225,0.0184032086042,158.958,161.477015398
mixed,5000,joint_clean,2000,0,0,7.87054665338e-11,384,383.999999948
mixed,5000,singleton_clean,2000,14,0.007,0.00668595915187,183.261,183.75215193
mixed,5000,pilot_partition,2000,23,0.0115,0.0114355079879,218.912,220.047929926
active,200,joint_clean,2000,101,0.0505,0.0479089047181,277.782,273.793010091
active,200,singleton_clean,2000,18,0.009,0.0106954604976,351.9735,351.850589222
active,200,pilot_partition,2000,101,0.0505,0.0479089047181,277.782,273.793010091
active,1000,joint_clean,2000,13,0.0065,0.00606845650018,378.1095,378.289012424
active,1000,singleton_clean,2000,80,0.04,0.0341371473283,288.2765,287.820893229
active,1000,pilot_partition,2000,101,0.0505,0.0447168857192,303.1255,302.300371442
active,5000,joint_clean,2000,0,0,5.68542644858e-10,384,383.999999598
active,5000,singleton_clean,2000,54,0.027,0.0239473628934,333.218,333.684499641
active,5000,pilot_partition,2000,49,0.0245,0.0198391763608,363.1545,363.27435587
