mode,N,history,exposure,nominal_bound,actual_risk,multiplier
postselect_clean_source,1,1000,145,0.0497745606212,0.0497745606212,
shared_changes_disjoint_exposure,1,1000,145,0.0497745606212,0.0497745606212,
postselect_clean_source,2,1000,145,0.0497745606212,0.0799853599779,
shared_changes_disjoint_exposure,2,1000,145,0.0497745606212,0.0934252909403,
postselect_clean_source,4,1000,145,0.0497745606212,0.109451284139,
shared_changes_disjoint_exposure,4,1000,145,0.0497745606212,0.1668240605,
postselect_clean_source,8,1000,145,0.0497745606212,0.12430516675,
shared_changes_disjoint_exposure,8,1000,145,0.0497745606212,0.276491661834,
postselect_clean_source,16,1000,145,0.0497745606212,0.126594597083,
shared_changes_disjoint_exposure,16,1000,145,0.0497745606212,0.416602063578,
postselect_clean_source,32,1000,145,0.0497745606212,0.126637540013,
shared_changes_disjoint_exposure,32,1000,145,0.0497745606212,0.566663548099,
deployment_rate_shift,1,1000,145,0.0497745606212,0.0497745606212,1
deployment_rate_shift,1,1000,145,0.0497745606212,0.0932837338266,2
deployment_rate_shift,1,1000,145,0.0497745606212,0.164543938635,4
deployment_rate_shift,1,1000,145,0.0497745606212,0.260474046982,8
deployment_rate_shift,1,1000,145,0.0497745606212,0.348696418421,16
