case,sources,total_exposure,closed_form,witness_risk
51,5,86,0.0144275693175,0.0144275693175
52,6,71,0.0507822889395,0.0507822889395
53,5,60,0.0134270022203,0.0134270022203
54,1,15,0.0116792028792,0.0116792028792
55,1,14,0.0105977165982,0.0105977165982
56,5,53,0.0949648003178,0.0949648003178
57,3,44,0.0538841539238,0.0538841539238
58,5,62,0.213170375647,0.213170375647
59,3,43,0.00972396874344,0.00972396874344
60,2,22,0.00629840198744,0.00629840198744
61,1,11,0.00427995417763,0.00427995417763
62,2,26,0.00608700951767,0.00608700951767
63,6,89,0.155139726811,0.155139726811
64,1,15,0.00700733338393,0.00700733338393
65,2,14,0.00413018382147,0.00413018382147
66,4,65,0.037427605593,0.037427605593
67,6,87,0.0100792040433,0.0100792040433
68,5,69,0.0412240585132,0.0412240585132
69,5,78,0.152000776576,0.152000776576
70,5,56,0.0142981577129,0.0142981577129
71,6,83,0.100643937013,0.100643937013
72,1,9,0.00467316475901,0.00467316475901
73,5,58,0.0608199435563,0.0608199435563
74,3,26,0.00540341857639,0.00540341857639
75,6,89,0.192036493481,0.192036493481
76,1,7,0.00456186463694,0.00456186463694
77,4,51,0.268649735108,0.268649735108
78,4,35,0.167579311613,0.167579311613
79,1,12,0.0464999228849,0.0464999228849
80,6,59,0.0201209146819,0.0201209146819
81,2,25,0.0117621882745,0.0117621882745
82,6,56,0.0169686901319,0.0169686901319
83,5,69,0.0872292549427,0.0872292549427
84,5,69,0.0135756573983,0.0135756573983
85,5,55,0.016096009383,0.016096009383
86,5,77,0.602069884507,0.602069884507
87,1,8,0.00300004453055,0.00300004453055
88,2,19,0.506084904984,0.506084904984
89,4,43,0.0132668291129,0.0132668291129
90,1,19,0.336563808763,0.336563808763
91,4,64,0.0375255403344,0.0375255403344
92,1,13,0.0387420489,0.0387420489
93,2,39,0.0147021548904,0.0147021548904
94,6,68,0.0387420489,0.0387420489
95,6,70,0.0566527795149,0.0566527795149
96,2,14,0.0624272881526,0.0624272881526
97,4,47,0.0242321423999,0.0242321423999
98,6,85,0.110225998696,0.110225998696
99,6,72,0.0412240585132,0.0412240585132
100,6,72,0.201017404474,0.201017404474
101,2,23,0.0770107667311,0.0770107667311
102,3,42,0.0366809155426,0.0366809155426
103,2,29,0.0205036750775,0.0205036750775
104,2,28,0.0108683255495,0.0108683255495
105,1,15,0.00806179990634,0.00806179990634
106,1,5,0.0033906059286,0.0033906059286
107,1,11,0.00724572831259,0.00724572831259
108,4,49,0.0145993485066,0.0145993485066
109,2,34,0.0201998400198,0.0201998400198
110,1,10,0.0387420489,0.0387420489
111,3,57,0.0151467022838,0.0151467022838
112,2,37,0.0104433799614,0.0104433799614
113,5,61,0.0194826543394,0.0194826543394
114,5,54,0.225951884765,0.225951884765
115,3,42,0.0177614221294,0.0177614221294
116,4,53,0.0168644666864,0.0168644666864
117,6,85,0.125847101437,0.125847101437
118,1,15,0.00963903837198,0.00963903837198
119,4,53,0.148148148148,0.148148148148
120,3,50,0.0140031770258,0.0140031770258
121,1,13,0.0754459559251,0.0754459559251
122,5,81,0.0577658824422,0.0577658824422
123,3,36,0.0146894471647,0.0146894471647
124,5,48,0.0229540001541,0.0229540001541
125,4,40,0.0384718223692,0.0384718223692
126,6,69,0.0159330320515,0.0159330320515
127,1,17,0.00951197674772,0.00951197674772
128,6,75,0.0472831006013,0.0472831006013
129,4,50,0.16868676248,0.16868676248
130,5,72,0.181274481696,0.181274481696
131,1,9,0.00335623563396,0.00335623563396
132,3,61,0.0116403013672,0.0116403013672
133,1,16,0.047120764846,0.047120764846
134,4,47,0.0143993317181,0.0143993317181
135,2,19,0.0271020641393,0.0271020641393
136,2,29,0.0240486894383,0.0240486894383
137,3,55,0.019719453376,0.019719453376
138,4,64,0.0576991951564,0.0576991951564
139,2,22,0.0638070576575,0.0638070576575
140,3,42,0.0212676689685,0.0212676689685
141,3,40,0.0202746904739,0.0202746904739
142,5,68,0.0258214008768,0.0258214008768
143,6,83,0.769184028927,0.769184028927
144,1,10,0.0135756573983,0.0135756573983
145,4,48,0.0601288282753,0.0601288282753
146,2,31,0.0113936246835,0.0113936246835
147,6,61,0.114917290762,0.114917290762
148,6,85,0.0371311899357,0.0371311899357
149,4,59,0.0334551110781,0.0334551110781
150,6,86,0.0628153736564,0.0628153736564
151,2,33,0.0318456619528,0.0318456619528
152,5,54,0.1959170667,0.1959170667
153,6,89,0.295721729908,0.295721729908
154,6,82,0.044426227213,0.044426227213
155,3,28,0.0369455040507,0.0369455040507
156,2,30,0.0709607461604,0.0709607461604
157,2,25,0.0172459279047,0.0172459279047
158,3,43,0.0109637003352,0.0109637003352
159,2,20,0.00629689416392,0.00629689416392
160,6,87,0.0156556256211,0.0156556256211
161,3,37,0.0180828514556,0.0180828514556
162,3,51,0.0152341916185,0.0152341916185
163,2,34,0.13172665508,0.13172665508
164,6,74,0.0315659314806,0.0315659314806
165,2,21,0.0726575659229,0.0726575659229
166,3,51,0.0803607586237,0.0803607586237
167,3,37,0.0370090651293,0.0370090651293
168,6,78,0.0604927422256,0.0604927422256
169,4,51,0.012276858032,0.012276858032
170,2,20,0.25,0.25
171,2,29,0.00633191019279,0.00633191019279
172,4,52,0.0768752854402,0.0768752854402
173,3,45,0.0102395197443,0.0102395197443
174,2,17,0.00671656441082,0.00671656441082
175,1,16,0.134520893281,0.134520893281
176,1,21,0.0326765673321,0.0326765673321
177,3,48,0.00933729228373,0.00933729228373
178,1,12,0.00555994371444,0.00555994371444
179,6,65,0.0163515433355,0.0163515433355
180,5,70,0.0425883362253,0.0425883362253
181,1,4,0.001779346069,0.001779346069
182,1,20,0.0133055874577,0.0133055874577
183,6,88,0.0254638675054,0.0254638675054
184,4,49,0.132373570692,0.132373570692
185,3,49,0.0147489386042,0.0147489386042
186,1,13,0.00484791418156,0.00484791418156
187,3,39,0.0271382588345,0.0271382588345
188,1,6,0.00372223619312,0.00372223619312
189,2,33,0.0334551110781,0.0334551110781
190,6,44,0.03925909693,0.03925909693
191,1,19,0.0146085029057,0.0146085029057
192,5,64,0.00845718487713,0.00845718487713
193,5,54,0.0336971238353,0.0336971238353
194,6,72,0.325730113991,0.325730113991
195,6,57,0.0169269342259,0.0169269342259
196,1,20,0.0106173797737,0.0106173797737
197,2,24,0.0105759538728,0.0105759538728
198,3,34,0.293794527125,0.293794527125
199,3,40,0.0169642437871,0.0169642437871
200,3,28,0.0150165298691,0.0150165298691
201,2,20,0.00585490700991,0.00585490700991
202,2,29,0.00810521894024,0.00810521894024
203,4,55,0.399561602127,0.399561602127
204,4,56,0.0129846542661,0.0129846542661
205,6,78,0.0262826917927,0.0262826917927
206,1,8,0.00386734439061,0.00386734439061
207,5,79,0.0153585113552,0.0153585113552
208,3,27,0.23821703651,0.23821703651
209,3,56,0.0490869879723,0.0490869879723
210,2,35,0.0202920044242,0.0202920044242
211,3,28,0.00973622398729,0.00973622398729
212,4,51,0.0180730881681,0.0180730881681
213,1,17,0.00942595565169,0.00942595565169
214,3,31,0.0500415908174,0.0500415908174
215,5,64,0.0156949179613,0.0156949179613
216,6,72,0.0105868240511,0.0105868240511
217,6,85,0.0182438251263,0.0182438251263
218,5,70,0.0303491770995,0.0303491770995
219,1,17,0.00984128557532,0.00984128557532
220,1,12,0.00715498034667,0.00715498034667
221,4,48,0.0123317317981,0.0123317317981
222,1,13,0.031165231052,0.031165231052
223,3,43,0.0195703628645,0.0195703628645
224,2,25,0.0173135714552,0.0173135714552
225,2,29,0.0219489675255,0.0219489675255
226,6,91,0.0262826917927,0.0262826917927
227,6,71,0.0617281276177,0.0617281276177
228,6,62,0.0197905224329,0.0197905224329
229,6,72,0.272240675882,0.272240675882
230,4,61,0.401922679117,0.401922679117
231,2,30,0.00914956906714,0.00914956906714
232,4,45,0.01844714131,0.01844714131
233,2,20,0.115434542003,0.115434542003
234,6,85,0.0214537360673,0.0214537360673
235,1,10,0.1959170667,0.1959170667
236,6,73,0.022378943981,0.022378943981
237,3,41,0.0058920259968,0.0058920259968
238,1,7,0.00556795820061,0.00556795820061
239,1,13,0.0109316770093,0.0109316770093
240,4,60,0.0871037880882,0.0871037880882
241,3,30,0.00547328339853,0.00547328339853
242,3,44,0.0155924249173,0.0155924249173
243,3,39,0.0226740302762,0.0226740302762
244,2,16,0.00789032691856,0.00789032691856
245,2,28,0.0359634476843,0.0359634476843
246,1,13,0.0243425204448,0.0243425204448
247,4,46,0.0183958885565,0.0183958885565
248,6,71,0.0679323473064,0.0679323473064
249,5,59,0.0402855335682,0.0402855335682
250,1,17,0.00879002005592,0.00879002005592
251,6,87,0.0209158600189,0.0209158600189
252,3,41,0.0318609893086,0.0318609893086
253,3,41,0.0290159345564,0.0290159345564
254,2,30,0.00833738955874,0.00833738955874
255,2,26,0.308623635727,0.308623635727
256,2,31,0.472470393711,0.472470393711
257,6,107,0.0149024646176,0.0149024646176
258,4,44,0.0352018946954,0.0352018946954
259,5,54,0.0193643112179,0.0193643112179
260,4,61,0.0174818774267,0.0174818774267
261,1,15,0.0180056849393,0.0180056849393
262,1,10,0.0106020798959,0.0106020798959
263,4,65,0.472470393711,0.472470393711
264,5,84,0.0516746603959,0.0516746603959
265,1,18,0.00859997496666,0.00859997496666
266,5,74,0.033338462786,0.033338462786
267,5,59,0.0834722523628,0.0834722523628
268,1,13,0.00611962620172,0.00611962620172
269,6,91,0.156060706679,0.156060706679
270,4,60,0.0433049270143,0.0433049270143
271,1,12,0.00627074820849,0.00627074820849
272,6,65,0.0256887934651,0.0256887934651
273,6,81,0.0354045932212,0.0354045932212
274,6,82,0.0172909647172,0.0172909647172
275,2,14,0.00442849808587,0.00442849808587
276,4,64,0.171329164348,0.171329164348
277,3,50,0.0127964517555,0.0127964517555
278,3,52,0.0664030919732,0.0664030919732
279,1,6,0.00634282754955,0.00634282754955
280,5,82,0.0359847763556,0.0359847763556
281,2,19,0.00523845701188,0.00523845701188
282,4,64,0.0201748494115,0.0201748494115
283,6,80,0.0159644630778,0.0159644630778
284,3,32,0.0224694123239,0.0224694123239
285,5,74,0.0599536470466,0.0599536470466
286,3,30,0.00826712768853,0.00826712768853
287,6,70,0.00929226505319,0.00929226505319
288,2,32,0.201017404474,0.201017404474
289,4,42,0.0265012016114,0.0265012016114
290,2,38,0.0852277602113,0.0852277602113
291,2,27,0.00742132494092,0.00742132494092
292,3,49,0.00859997496666,0.00859997496666
293,5,74,0.139452706867,0.139452706867
294,3,40,0.0218574388568,0.0218574388568
295,1,11,0.00424404435615,0.00424404435615
296,6,75,0.0353299998519,0.0353299998519
297,1,14,0.0127174534209,0.0127174534209
298,5,54,0.225951884765,0.225951884765
299,6,76,0.0742722355245,0.0742722355245
