case,sources,total_exposure,closed_form,witness_risk
0,6,96,0.0152341916185,0.0152341916185
1,3,43,0.0279469297575,0.0279469297575
2,6,77,0.109676249268,0.109676249268
3,1,22,0.016933184505,0.016933184505
4,6,82,0.602069884507,0.602069884507
5,6,67,0.0723786386196,0.0723786386196
6,5,59,0.114917290762,0.114917290762
7,3,41,0.0327921903059,0.0327921903059
8,2,25,0.00749937100788,0.00749937100788
9,2,40,0.366636706714,0.366636706714
10,3,25,0.00994299023448,0.00994299023448
11,4,60,0.0344340351483,0.0344340351483
12,6,82,0.027089268331,0.027089268331
13,1,15,0.00670914053607,0.00670914053607
14,4,39,0.0406453895933,0.0406453895933
15,2,23,0.00602758420838,0.00602758420838
16,3,47,0.00684083197008,0.00684083197008
17,3,35,0.00641768065981,0.00641768065981
18,3,31,0.00736337577871,0.00736337577871
19,3,36,0.2241584081,0.2241584081
20,5,65,0.140039607215,0.140039607215
21,6,88,0.0418270027749,0.0418270027749
22,3,34,0.00649354354509,0.00649354354509
23,1,16,0.123200328678,0.123200328678
24,3,37,0.0118235811507,0.0118235811507
25,5,67,0.0154908050793,0.0154908050793
26,3,51,0.0265195749157,0.0265195749157
27,6,68,0.101808142107,0.101808142107
28,2,30,0.0202528018447,0.0202528018447
29,5,53,0.0265012016114,0.0265012016114
30,3,43,0.0758741991349,0.0758741991349
31,6,67,0.0697029675026,0.0697029675026
32,3,46,0.0219443728875,0.0219443728875
33,6,91,0.111483393941,0.111483393941
34,4,40,0.0538841539238,0.0538841539238
35,3,30,0.00869711603617,0.00869711603617
36,2,42,0.0350493899481,0.0350493899481
37,5,71,0.0285803467532,0.0285803467532
38,1,9,0.00589661694345,0.00589661694345
39,4,55,0.0191127697066,0.0191127697066
40,4,42,0.0631424878752,0.0631424878752
41,5,77,0.132092457866,0.132092457866
42,3,30,0.0135423391345,0.0135423391345
43,5,59,0.0605415975527,0.0605415975527
44,2,36,0.0157588085673,0.0157588085673
45,1,16,0.0124447182201,0.0124447182201
46,1,22,0.0167232326139,0.0167232326139
47,5,58,0.0347732040777,0.0347732040777
48,5,60,0.0302451828901,0.0302451828901
49,4,48,0.0655731194366,0.0655731194366
50,1,5,0.00444838793732,0.00444838793732
