delta,marginal_history_per_exposure,conditional_history_per_exposure,stable_skip_fraction,admitted_risk_at_worst,gate_probability_at_worst
0.001,367.379554433,15198.0041511,0.00271459148035,0.00271459148035,0.368379554433
0.00114551497011,320.647780163,13029.7906664,0.00310899083306,0.00310899083306,0.368452347279
0.00131220454674,279.852355971,11167.1450635,0.00356058967903,0.00356058967903,0.368535738468
0.00150314995214,244.239186904,9567.42348854,0.00407765175143,0.00407765175143,0.368631272058
0.00172188077249,213.149970924,8193.88535288,0.00466962472927,0.00466962472927,0.368740717365
0.00197244020163,186.010030324,7014.88167749,0.00534730676354,0.00534730676354,0.36886610192
0.00225945977862,162.317688933,6003.15438718,0.00612303545644,0.00612303545644,0.36900974928
0.00258824500076,141.634998737,5135.23146506,0.00701090201463,0.00701090201463,0.369174322414
0.00296487339468,123.579644499,4390.90491955,0.00802699352709,0.00802699352709,0.369362873494
0.00339630685809,107.817876743,3752.7802851,0.0091896665321,0.0091896665321,0.369578901065
0.00389052034902,94.0583424626,3205.88790625,0.0105198552183,0.0105198552183,0.369826415695
0.00445664930132,82.0466995216,2737.34757819,0.0120414177295,0.0120414177295,0.3701100154
0.00510515849118,71.5609151928,2336.07926043,0.01378152408,0.01378152408,0.370434972325
0.00584803547643,62.4071619288,1992.55356995,0.0157710890944,0.0157710890944,0.370807332419
0.00669901218397,54.4162344999,1698.57661542,0.0180452535078,0.0180452535078,0.371234030105
0.00767381874168,47.4404222711,1447.10447412,0.0206439158272,0.0206439158272,0.371723020279
0.0087904742465,41.3507788009,1232.08325251,0.0236123166637,0.0236123166637,0.372283430368
0.0100696198437,36.0347382937,1048.31122442,0.0270016758879,0.0270016758879,0.372925735629
0.0115349002743,31.3940348445,891.320018665,0.0308698809765,0.0308698809765,0.373661961413
0.0132134009429,27.3428860137,757.272241038,0.035282222125,0.035282222125,0.374505916779
0.0151361485861,23.8064071571,642.873272593,0.0403121658718,0.0403121658718,0.375473464618
0.0173386847952,20.7192271985,545.295294612,0.0460421538418,0.0460421538418,0.376582834391
0.0198617229949,18.0242802599,462.111857232,0.05256440645,0.05256440645,0.3778549847
0.0227519010228,15.6717508104,391.241538986,0.0599817026643,0.0599817026643,0.379314024314
0.0260626432201,13.6181528373,330.899443462,0.0684080958195,0.0684080958195,0.380987701936
0.0298551479692,11.8255260178,279.555451137,0.0779695116298,0.0779695116298,0.382907977043
0.0341995189335,10.2607340308,235.898292838,0.0888041576387,0.0888041576387,0.385111686692
0.0391760609089,8.89485204237,198.804639468,0.101062653157,0.101062653157,0.387641326296
0.044876764241,7.70263203893,167.312513298,0.11490776532,0.11490776532,0.390545966287
0.0514070052481,6.6620361287,140.598421693,0.130513610639,0.130513610639,0.393882331479
0.0588874940802,5.75382918381,117.957696588,0.148064153354,0.148064153354,0.39771607608
0.067456506021,4.96122329509,98.787594268,0.167750803904,0.167750803904,0.402123295098
0.0772724374783,4.26956746936,82.5727714262,0.189768895799,0.189768895799,0.407192322814
0.0885167339082,3.66607683656,68.872806506,0.214312801745,0.214312801745,0.413025881737
0.101397243797,3.13959636583,57.3114810865,0.241569445817,0.241569445817,0.419743661927
0.116152060697,2.68039473044,47.5675755325,0.271709985814,0.271709985814,0.42748543212
0.133053924338,2.27998452243,39.3669671803,0.304879487437,0.304879487437,0.436414812476
0.15241526216,1.93096551105,32.4758486908,0.341184499179,0.341184499179,0.44672387675
0.174593964478,1.62688807514,26.6949095248,0.380678571526,0.380678571526,0.458638803277
0.2,1.3621343278,21.8543453268,0.423345949563,0.423345949563,0.472426865561
