case,sources,groups,declared_bound,witness_risk
0,6,3,0.0495396165615,0.0495396165615
1,3,2,0.0496807084516,0.0496807084516
2,6,3,0.0492227035722,0.0492227035722
3,1,1,0.0302244695366,0.0302244695366
4,6,3,0.0489091892348,0.0489091892348
5,6,3,0.0490137916596,0.0490137916596
6,5,3,0.0414648289728,0.0414648289728
7,3,2,0.0402431431037,0.0402431431037
8,2,1,0.0208753929413,0.0208753929413
9,2,1,0.0294382082059,0.0294382082059
10,3,2,0.0487297701227,0.0487297701227
11,4,2,0.0469765605784,0.0469765605784
12,6,3,0.048014993877,0.048014993877
13,1,1,0.0176246526703,0.0176246526703
14,4,2,0.0477988258738,0.0477988258738
15,2,1,0.0252453948902,0.0252453948902
16,3,2,0.034933020385,0.034933020385
17,3,2,0.0320821259036,0.0320821259036
18,3,2,0.0396194322354,0.0396194322354
19,3,2,0.046415309268,0.046415309268
20,5,3,0.0483091768511,0.0483091768511
21,6,3,0.0493370471432,0.0493370471432
22,3,2,0.0398586365988,0.0398586365988
23,1,1,0.0433049270143,0.0433049270143
24,3,2,0.0438864098892,0.0438864098892
25,5,3,0.0488753990737,0.0488753990737
26,3,2,0.04482099167,0.04482099167
27,6,3,0.0493213772768,0.0493213772768
28,2,1,0.0489194938295,0.0489194938295
29,5,3,0.0493909032768,0.0493909032768
30,3,2,0.0473681720032,0.0473681720032
31,6,3,0.0490310977452,0.0490310977452
32,3,2,0.0489204294819,0.0489204294819
33,6,3,0.048808076297,0.048808076297
34,4,2,0.0478798015377,0.0478798015377
35,3,2,0.0418344256096,0.0418344256096
36,2,1,0.0492993438176,0.0492993438176
37,5,3,0.0480476003569,0.0480476003569
38,1,1,0.025508016663,0.025508016663
39,4,2,0.0400158832578,0.0400158832578
40,4,2,0.0496564112525,0.0496564112525
41,5,3,0.0476266429953,0.0476266429953
42,3,2,0.0484684827754,0.0484684827754
43,5,3,0.0487276916734,0.0487276916734
44,2,1,0.046450962,0.046450962
45,1,1,0.0303491770995,0.0303491770995
46,1,1,0.0298564228545,0.0298564228545
47,5,3,0.0489406583816,0.0489406583816
48,5,3,0.0486131781397,0.0486131781397
49,4,2,0.0487723382774,0.0487723382774
50,1,1,0.0341542066216,0.0341542066216
51,5,3,0.049649841489,0.049649841489
