T,m,delta,continuous_upper,optimal_mean_skips,deterministic_skips,sharp_risk,least_favorable_h,old_lower_bound_saving
1000,0,0.1,238.656018335,238.655889418,238,0.1,0.00114187136356,271.828182846
1000,100,0.001,2.98605062839,2.98604436678,2,0.001,0.000909914739138,2.9901100113
1000,100,0.01,29.4992554394,29.4991402515,29,0.01,0.00092108228714,29.901100113
1000,100,0.05,139.891209062,139.89116192,139,0.05,0.000971846632697,149.505500565
1000,100,0.1,262.521620169,262.521490579,262,0.1,0.00103811872183,299.01100113
1000,1000,0.001,5.4291829607,5.42912163156,5,0.001,0.000500560220094,5.43656365692
1000,1000,0.01,53.6350098898,53.6349511542,53,0.01,0.000506698850427,54.3656365692
1000,1000,0.05,254.347652839,254.3475922,254,0.05,0.000534632526661,271.828182846
1000,1000,0.1,477.312036671,477.311975357,477,0.1,0.000571098488483,543.656365692
1000,4000,0.001,13.5729574018,13.5729329006,13,0.001,0.000200252260264,13.5914091423
1000,4000,0.01,134.087524724,134.087516629,134,0.01,0.000202710145153,135.914091423
1000,4000,0.05,635.869132098,635.869119932,635,0.05,0.000213887270042,679.570457115
1000,4000,0.1,1000,1000,1000,0.08192,0.000223118656644,1000
1000,8000,0.001,24.4313233232,24.4313096778,24,0.001,0.000111256068044,24.4645364561
1000,8000,0.01,241.357544504,241.357531568,241,0.01,0.000112621820042,244.645364561
1000,8000,0.05,1000,1000,1000,0.0433049270143,0.000117776099507,1000
1000,8000,0.1,1000,1000,1000,0.0433049270143,0.000117776099507,1000
1000,20000,0.001,57.0064210874,57.0064209353,57,0.001,4.76826612296e-05,57.0839183976
1000,20000,0.01,563.167603842,563.167600475,563,0.01,4.8268045168e-05,570.839183976
1000,20000,0.05,1000,1000,1000,0.017947118232,4.87889739488e-05,1000
1000,20000,0.1,1000,1000,1000,0.017947118232,4.87889739488e-05,1000
