T,m,delta,continuous_upper,optimal_mean_skips,deterministic_skips,sharp_risk,least_favorable_h,old_lower_bound_saving
10,0,0.001,0.0271459148035,0.0258117479171,0,0.001,0.1,0.0271828182846
10,0,0.01,0.268175049449,0.258117479171,0,0.01,0.1,0.271828182846
10,0,0.05,1.2717382642,1.26119627886,1,0.05,0.10230581748,1.35914091423
10,0,0.1,2.38656018335,2.37303158063,2,0.1,0.108639971453,2.71828182846
10,1,0.001,0.0298605062839,0.0285311670611,0,0.001,0.0909090909091,0.029901100113
10,1,0.01,0.294992554394,0.285311670611,0,0.01,0.0909090909091,0.29901100113
10,1,0.05,1.39891209062,1.38724312303,1,0.05,0.0934519072876,1.49505500565
10,1,0.1,2.62521620169,2.61296439525,2,0.1,0.0991533301214,2.9901100113
10,10,0.001,0.054291829607,0.0530006865328,0,0.001,0.05,0.0543656365692
10,10,0.01,0.536350098898,0.530006865328,0,0.01,0.05,0.543656365692
10,10,0.05,2.54347652839,2.5368283375,2,0.05,0.0522147075422,2.71828182846
10,10,0.1,4.77312036671,4.76808139652,4,0.1,0.0555899428647,5.43656365692
10,40,0.001,0.135729574018,0.134552662342,0,0.001,0.02,0.135914091423
10,40,0.01,1.34087524724,1.33859828344,1,0.01,0.0201032529785,1.35914091423
10,40,0.05,6.35869132098,6.35623300463,6,0.05,0.0211725400741,6.79570457115
10,40,0.1,10,10,10,0.08192,0.0220672314571,10
10,80,0.001,0.244313233232,0.243284958144,0,0.001,0.0111111111111,0.244645364561
10,80,0.01,2.41357544504,2.41220971011,2,0.01,0.0112060217848,2.44645364561
10,80,0.05,10,10,10,0.0433049270143,0.0117092108791,10
10,80,0.1,10,10,10,0.0433049270143,0.0117092108791,10
10,200,0.001,0.570064210874,0.569479502433,0,0.001,0.0047619047619,0.570839183976
10,200,0.01,5.63167603842,5.63111437218,5,0.01,0.00481577559759,5.70839183976
10,200,0.05,10,10,10,0.017947118232,0.00486713335009,10
10,200,0.1,10,10,10,0.017947118232,0.00486713335009,10
50,0,0.001,0.135729574018,0.134552662342,0,0.001,0.02,0.135914091423
50,0,0.01,1.34087524724,1.33859828344,1,0.01,0.0201032529785,1.35914091423
50,0,0.05,6.35869132098,6.35623300463,6,0.05,0.0211725400741,6.79570457115
50,0,0.1,11.9328009168,11.9320823611,11,0.1,0.0225929031794,13.5914091423
50,5,0.001,0.149302531419,0.148144281416,0,0.001,0.0181818181818,0.149505500565
50,5,0.01,1.47496277197,1.47266334417,1,0.01,0.0182898929867,1.49505500565
50,5,0.05,6.99456045308,6.9945076822,6,0.05,0.019258668696,7.47527502826
50,5,0.1,13.1260810084,13.1249394786,13,0.1,0.0205609163622,14.9505500565
50,50,0.001,0.271459148035,0.270467903616,0,0.001,0.01,0.271828182846
50,50,0.01,2.68175049449,2.68064994702,2,0.01,0.0100895027114,2.71828182846
50,50,0.05,12.717382642,12.7162975251,12,0.05,0.0106394793078,13.5914091423
50,50,0.1,23.8656018335,23.8649363196,23,0.1,0.0113605718803,27.1828182846
50,200,0.001,0.678647870088,0.678210862245,0,0.001,0.004,0.679570457115
50,200,0.01,6.70437623622,6.70395395944,6,0.01,0.00404666247911,6.79570457115
50,200,0.05,31.7934566049,31.7931058934,31,0.05,0.00426911467809,33.9785228557
50,200,0.1,50,50,50,0.08192,0.00445292721553,50
50,400,0.001,1.22156616616,1.22137429169,1,0.001,0.00222311927888,1.22322682281
50,400,0.01,12.0678772252,12.0678059884,12,0.01,0.00225004146598,12.2322682281
50,400,0.05,50,50,50,0.0433049270143,0.0023528883218,50
50,400,0.1,50,50,50,0.0433049270143,0.0023528883218,50
50,1000,0.001,2.85032105437,2.85026035733,2,0.001,0.00095324166702,2.85419591988
50,1000,0.01,28.1583801921,28.1583158582,28,0.01,0.000964920597109,28.5419591988
50,1000,0.05,50,50,50,0.017947118232,0.000975327342186,50
50,1000,0.1,50,50,50,0.017947118232,0.000975327342186,50
100,0,0.001,0.271459148035,0.270467903616,0,0.001,0.01,0.271828182846
100,0,0.01,2.68175049449,2.68064994702,2,0.01,0.0100895027114,2.71828182846
100,0,0.05,12.717382642,12.7162975251,12,0.05,0.0106394793078,13.5914091423
100,0,0.1,23.8656018335,23.8649363196,23,0.1,0.0113605718803,27.1828182846
100,10,0.001,0.298605062839,0.297650825858,0,0.001,0.00909090909091,0.29901100113
100,10,0.01,2.94992554394,2.94970606714,2,0.01,0.0091733894452,2.9901100113
100,10,0.05,13.9891209062,13.9890685088,13,0.05,0.00967610946011,14.9505500565
100,10,0.1,26.2521620169,26.2511835069,26,0.1,0.0103332605614,29.901100113
100,100,0.001,0.54291829607,0.542296657049,0,0.001,0.005,0.543656365692
100,100,0.01,5.36350098898,5.36291477454,5,0.01,0.00505600403124,5.43656365692
100,100,0.05,25.4347652839,25.4341082613,25,0.05,0.00533362701615,27.1828182846
100,100,0.1,47.7312036671,47.7306420238,47,0.1,0.00569640623813,54.3656365692
100,400,0.001,1.35729574018,1.35706579485,1,0.001,0.00200105457418,1.35914091423
100,400,0.01,13.4087524724,13.4085075117,13,0.01,0.00202529068699,13.5914091423
100,400,0.05,63.5869132098,63.5866538848,63,0.05,0.00213682450492,67.9570457115
100,400,0.1,100,100,100,0.08192,0.00222894771172,100
100,800,0.001,2.44313233232,2.44299505268,2,0.001,0.00111206575609,2.44645364561
100,800,0.01,24.1357544504,24.1356883887,24,0.01,0.00112565066768,24.4645364561
100,800,0.05,100,100,100,0.0433049270143,0.00117713698664,100
100,800,0.1,100,100,100,0.0433049270143,0.00117713698664,100
100,2000,0.001,5.70064210874,5.70059210027,5,0.001,0.000476728496876,5.70839183976
100,2000,0.01,56.3167603842,56.3167081529,56,0.01,0.000482576074686,57.0839183976
100,2000,0.05,100,100,100,0.017947118232,0.000487782637043,100
100,2000,0.1,100,100,100,0.017947118232,0.000487782637043,100
500,0,0.001,1.35729574018,1.35706579485,1,0.001,0.00200105457418,1.35914091423
500,0,0.01,13.4087524724,13.4085075117,13,0.01,0.00202529068699,13.5914091423
500,0,0.05,63.5869132098,63.5866538848,63,0.05,0.00213682450492,67.9570457115
500,0,0.1,119.328009168,119.327757366,119,0.1,0.00228244297334,135.914091423
500,50,0.001,1.49302531419,1.49279776033,1,0.001,0.00181927510229,1.49505500565
500,50,0.01,14.7496277197,14.7494547389,14,0.01,0.00184133076385,14.9505500565
500,50,0.05,69.9456045308,69.9455545035,69,0.05,0.00194274956522,74.7527502826
500,50,0.1,131.260810084,131.260609877,131,0.1,0.00207516221295,149.505500565
500,500,0.001,2.71459148035,2.71448935721,2,0.001,0.00100089624375,2.71828182846
500,500,0.01,26.8175049449,26.8174293229,26,0.01,0.00101314272707,27.1828182846
500,500,0.05,127.17382642,127.173749629,127,0.05,0.00106897963974,135.914091423
500,500,0.1,238.656018335,238.655889418,238,0.1,0.00114187136356,271.828182846
500,2000,0.001,6.78647870088,6.78644506785,6,0.001,0.000400465682643,6.79570457115
500,2000,0.01,67.0437623622,67.043753879,67,0.01,0.00040537922609,67.9570457115
500,2000,0.05,317.934566049,317.934552967,317,0.05,0.000427728802403,339.785228557
500,2000,0.1,500,500,500,0.08192,0.000446187531352,500
500,4000,0.001,12.2156616616,12.2156428418,12,0.001,0.00022249997698,12.2322682281
500,4000,0.01,120.678772252,120.678747694,120,0.01,0.000225230990628,122.322682281
500,4000,0.05,500,500,500,0.0433049270143,0.000235538327804,500
500,4000,0.1,500,500,500,0.0433049270143,0.000235538327804,500
500,10000,0.001,28.5032105437,28.5031986232,28,0.001,9.53630885041e-05,28.5419591988
500,10000,0.01,281.583801921,281.583790193,281,0.01,9.65337640229e-05,285.419591988
500,10000,0.05,500,500,500,0.017947118232,9.75755675334e-05,500
500,10000,0.1,500,500,500,0.017947118232,9.75755675334e-05,500
1000,0,0.001,2.71459148035,2.71448935721,2,0.001,0.00100089624375,2.71828182846
1000,0,0.01,26.8175049449,26.8174293229,26,0.01,0.00101314272707,27.1828182846
1000,0,0.05,127.17382642,127.173749629,127,0.05,0.00106897963974,135.914091423
