regime,m,seed,method,full_audit_cost,expected_deployment_cost,workflow_risk,uniform_bound,groups,saved_fraction,pilot_audit_cost,gate_endpoint_cost,joint_history_risk
stable,200,0,joint_clean,384,138.433053766,0.00352371758274,0.0497745606212,1,0.639497255818,0,12,True
stable,200,0,singleton_clean,384,348.13121284,0.000385816522727,0.0429864684803,8,0.0934082998956,0,12,True
stable,200,0,pilot_partition,384,138.433053766,0.00352371758274,0.0497745606212,1,0.639497255818,768,12,True
stable,200,0,rate_oracle_partition,384,138.433053766,0.00352371758274,0.0497745606212,1,0.639497255818,0,12,True
stable,200,0,joint_conditional_PAC,384,372.306335894,0.000125988571593,0.00183481208215,1,0.0304522502771,0,12,True
stable,200,0,audit_all,384,384,-0,,0,0,0,0,True
stable,200,0,known_rate_calendar,384,0,0.0240443773761,0.05,0,1,0,0,True
stable,200,0,plugin_calendar,384,2,0.0208035966681,,0,0.994791666667,768,0,True
stable,200,0,plugin_global_TTL,384,12,0.0172865275955,,0,0.96875,768,0,True
stable,200,0,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,1,joint_clean,384,140.82541607,0.0032235159254,0.0481681493208,1,0.633267145652,0,12,True
stable,200,1,singleton_clean,384,349.118205452,0.000353323844914,0.0412383284888,8,0.090838006636,0,12,True
stable,200,1,pilot_partition,384,140.82541607,0.0032235159254,0.0481681493208,1,0.633267145652,768,12,True
stable,200,1,rate_oracle_partition,384,140.82541607,0.0032235159254,0.0481681493208,1,0.633267145652,0,12,True
stable,200,1,joint_conditional_PAC,384,372.280742943,0.000115590243901,0.00183481208215,1,0.0305188985856,0,12,True
stable,200,1,audit_all,384,384,-0,,0,0,0,0,True
stable,200,1,known_rate_calendar,384,0,0.0225956161311,0.05,0,1,0,0,True
stable,200,1,plugin_calendar,384,0,0.0225956161311,,0,1,768,0,True
stable,200,1,plugin_global_TTL,384,0,0.0225956161311,,0,1,768,0,True
stable,200,1,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,2,joint_clean,384,135.762132333,0.00312329703994,0.0497745606212,1,0.646452780382,0,12,True
stable,200,2,singleton_clean,384,348.112154182,0.000342657664016,0.0429864684803,8,0.0934579318187,0,12,True
stable,200,2,pilot_partition,384,135.762132333,0.00312329703994,0.0497745606212,1,0.646452780382,768,12,True
stable,200,2,rate_oracle_partition,384,135.762132333,0.00312329703994,0.0497745606212,1,0.646452780382,0,12,True
stable,200,2,joint_conditional_PAC,384,372.272226724,0.000112124941947,0.00183481208215,1,0.0305410762385,0,12,True
stable,200,2,audit_all,384,384,-0,,0,0,0,0,True
stable,200,2,known_rate_calendar,384,0,0.0206054295608,0.05,0,1,0,0,True
stable,200,2,plugin_calendar,384,0,0.0206054295608,,0,1,768,0,True
stable,200,2,plugin_global_TTL,384,0,0.0206054295608,,0,1,768,0,True
stable,200,2,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,3,joint_clean,384,137.060593745,0.00336144346963,0.0497745606212,1,0.643071370455,0,12,True
stable,200,3,singleton_clean,384,348.121610656,0.00036193076014,0.0429864684803,8,0.0934333055828,0,12,True
stable,200,3,pilot_partition,384,137.060593745,0.00336144346963,0.0497745606212,1,0.643071370455,768,12,True
stable,200,3,rate_oracle_partition,384,137.060593745,0.00336144346963,0.0497745606212,1,0.643071370455,0,12,True
stable,200,3,joint_conditional_PAC,384,372.287458992,0.000118321218205,0.00183481208215,1,0.0305014088753,0,12,True
stable,200,3,audit_all,384,384,-0,,0,0,0,0,True
stable,200,3,known_rate_calendar,384,0,0.0210845162545,0.05,0,1,0,0,True
stable,200,3,plugin_calendar,384,0,0.0210845162545,,0,1,768,0,True
stable,200,3,plugin_global_TTL,384,0,0.0210845162545,,0,1,768,0,True
stable,200,3,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,4,joint_clean,384,140.703184091,0.00313409824646,0.0497745606212,1,0.633585458096,0,12,True
stable,200,4,singleton_clean,384,348.118080504,0.000345944237326,0.0429864684803,8,0.0934424986887,0,12,True
stable,200,4,pilot_partition,384,140.703184091,0.00313409824646,0.0497745606212,1,0.633585458096,768,12,True
stable,200,4,rate_oracle_partition,384,140.703184091,0.00313409824646,0.0497745606212,1,0.633585458096,0,12,True
stable,200,4,joint_conditional_PAC,384,372.274852245,0.000113193558797,0.00183481208215,1,0.0305342389444,0,12,True
stable,200,4,audit_all,384,384,-0,,0,0,0,0,True
stable,200,4,known_rate_calendar,384,0,0.0200789286595,0.05,0,1,0,0,True
stable,200,4,plugin_calendar,384,0,0.0200789286595,,0,1,768,0,True
stable,200,4,plugin_global_TTL,384,0,0.0200789286595,,0,1,768,0,True
stable,200,4,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,5,joint_clean,384,133.794215849,0.00310726241652,0.0497745606212,1,0.651577562893,0,12,True
stable,200,5,singleton_clean,384,349.114387234,0.000341850683948,0.0412383284888,8,0.0908479499107,0,12,True
stable,200,5,pilot_partition,384,147.551526495,0.00257630706404,0.0497745606212,2,0.615751233087,768,12,True
stable,200,5,rate_oracle_partition,384,133.794215849,0.00310726241652,0.0497745606212,1,0.651577562893,0,12,True
stable,200,5,joint_conditional_PAC,384,372.271603868,0.000111871396168,0.00183481208215,1,0.0305426982606,0,12,True
stable,200,5,audit_all,384,384,-0,,0,0,0,0,True
stable,200,5,known_rate_calendar,384,0,0.0190365318302,0.05,0,1,0,0,True
stable,200,5,plugin_calendar,384,2,0.018285393713,,0,0.994791666667,768,0,True
stable,200,5,plugin_global_TTL,384,28,0.0131343694941,,0,0.927083333333,768,0,True
stable,200,5,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,6,joint_clean,384,139.674151152,0.00306928460231,0.0497745606212,1,0.636265231375,0,12,True
stable,200,6,singleton_clean,384,348.114832953,0.000342789960864,0.0429864684803,8,0.0934509558513,0,12,True
stable,200,6,pilot_partition,384,139.674151152,0.00306928460231,0.0497745606212,1,0.636265231375,768,12,True
stable,200,6,rate_oracle_partition,384,139.674151152,0.00306928460231,0.0497745606212,1,0.636265231375,0,12,True
stable,200,6,joint_conditional_PAC,384,372.272359255,0.000112178889425,0.00183481208215,1,0.030540731106,0,12,True
stable,200,6,audit_all,384,384,-0,,0,0,0,0,True
stable,200,6,known_rate_calendar,384,0,0.0205836900099,0.05,0,1,0,0,True
stable,200,6,plugin_calendar,384,0,0.0205836900099,,0,1,768,0,True
stable,200,6,plugin_global_TTL,384,0,0.0205836900099,,0,1,768,0,True
stable,200,6,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,7,joint_clean,384,136.419037346,0.00353720675025,0.0497745606212,1,0.644742090244,0,12,True
stable,200,7,singleton_clean,384,348.129152302,0.000381942928766,0.0429864684803,8,0.093413665881,0,12,True
stable,200,7,pilot_partition,384,136.419037346,0.00353720675025,0.0497745606212,1,0.644742090244,768,12,True
stable,200,7,rate_oracle_partition,384,136.419037346,0.00353720675025,0.0497745606212,1,0.644742090244,0,12,True
stable,200,7,joint_conditional_PAC,384,372.303261607,0.000124740737862,0.00183481208215,1,0.030460256232,0,12,True
stable,200,7,audit_all,384,384,-0,,0,0,0,0,True
stable,200,7,known_rate_calendar,384,0,0.0205268051531,0.05,0,1,0,0,True
stable,200,7,plugin_calendar,384,0,0.0205268051531,,0,1,768,0,True
stable,200,7,plugin_global_TTL,384,0,0.0205268051531,,0,1,768,0,True
stable,200,7,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,8,joint_clean,384,143.633628642,0.00317838707106,0.0497745606212,1,0.625954092078,0,12,True
stable,200,8,singleton_clean,384,349.107866767,0.000322317103736,0.0412383284888,8,0.0908649302943,0,12,True
stable,200,8,pilot_partition,384,143.633628642,0.00317838707106,0.0497745606212,1,0.625954092078,768,12,True
stable,200,8,rate_oracle_partition,384,143.633628642,0.00317838707106,0.0497745606212,1,0.625954092078,0,12,True
stable,200,8,joint_conditional_PAC,384,372.274811153,0.00011317683575,0.00183481208215,1,0.030534345955,0,12,True
stable,200,8,audit_all,384,384,-0,,0,0,0,0,True
stable,200,8,known_rate_calendar,384,0,0.0211711089736,0.05,0,1,0,0,True
stable,200,8,plugin_calendar,384,0,0.0211711089736,,0,1,768,0,True
stable,200,8,plugin_global_TTL,384,0,0.0211711089736,,0,1,768,0,True
stable,200,8,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,200,9,joint_clean,384,144.357356221,0.00299514762936,0.0497745606212,1,0.624069384841,0,12,True
stable,200,9,singleton_clean,384,348.108611326,0.000330217433671,0.0429864684803,8,0.093467158005,0,12,True
stable,200,9,pilot_partition,384,144.357356221,0.00299514762936,0.0497745606212,1,0.624069384841,768,12,True
stable,200,9,rate_oracle_partition,384,144.357356221,0.00299514762936,0.0497745606212,1,0.624069384841,0,12,True
stable,200,9,joint_conditional_PAC,384,372.262401121,0.000108123626346,0.00183481208215,1,0.0305666637473,0,12,True
stable,200,9,audit_all,384,384,-0,,0,0,0,0,True
stable,200,9,known_rate_calendar,384,0,0.0202515623468,0.05,0,1,0,0,True
stable,200,9,plugin_calendar,384,4,0.0199028495912,,0,0.989583333333,768,0,True
stable,200,9,plugin_global_TTL,384,29,0.012578519957,,0,0.924479166667,768,0,True
