regime,m,seed,method,full_audit_cost,expected_deployment_cost,workflow_risk,uniform_bound,groups,saved_fraction,pilot_audit_cost,gate_endpoint_cost,joint_history_risk
stable,200,9,CP_calendar,384,384,-0,0.05,0,0,0,120,False
stable,1000,0,joint_clean,384,70.2996089977,0.0128295998906,0.0481681493208,1,0.816928101568,0,12,True
stable,1000,0,singleton_clean,384,225.958376244,0.00210143948938,0.0471601070259,8,0.411566728531,0,12,True
stable,1000,0,pilot_partition,384,77.0316120053,0.0100877818242,0.0494161655747,2,0.799396843736,768,12,True
stable,1000,0,rate_oracle_partition,384,70.2996089977,0.0128295998906,0.0481681493208,1,0.816928101568,0,12,True
stable,1000,0,joint_conditional_PAC,384,325.126257151,0.000652804182864,0.00220067790447,1,0.15331703867,0,12,True
stable,1000,0,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,0,known_rate_calendar,384,0,0.0240443773761,0.05,0,1,0,0,True
stable,1000,0,plugin_calendar,384,2,0.0208035966681,,0,0.994791666667,768,0,True
stable,1000,0,plugin_global_TTL,384,12,0.0172865275955,,0,0.96875,768,0,True
stable,1000,0,CP_calendar,384,376,4.79777095228e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,1,joint_clean,384,65.0749586778,0.0114588851026,0.0497745606212,1,0.830533961776,0,12,True
stable,1000,1,singleton_clean,384,227.657910914,0.00188813854001,0.0464658028708,8,0.407140856994,0,12,True
stable,1000,1,pilot_partition,384,65.0749586778,0.0114588851026,0.0497745606212,1,0.830533961776,768,12,True
stable,1000,1,rate_oracle_partition,384,65.0749586778,0.0114588851026,0.0497745606212,1,0.830533961776,0,12,True
stable,1000,1,joint_conditional_PAC,384,326.255911738,0.000592034736703,0.00220067790447,1,0.150375229848,0,12,True
stable,1000,1,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,1,known_rate_calendar,384,0,0.0225956161311,0.05,0,1,0,0,True
stable,1000,1,plugin_calendar,384,0,0.0225956161311,,0,1,768,0,True
stable,1000,1,plugin_global_TTL,384,0,0.0225956161311,,0,1,768,0,True
stable,1000,1,CP_calendar,384,376,3.84614304166e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,2,joint_clean,384,63.9144816647,0.0120197406617,0.0472008056322,1,0.833556037331,0,12,True
stable,1000,2,singleton_clean,384,218.622829072,0.0018895954064,0.0478536892608,8,0.430669715959,0,12,True
stable,1000,2,pilot_partition,384,63.9144816647,0.0120197406617,0.0472008056322,1,0.833556037331,768,12,True
stable,1000,2,rate_oracle_partition,384,63.9144816647,0.0120197406617,0.0472008056322,1,0.833556037331,0,12,True
stable,1000,2,joint_conditional_PAC,384,320.696178825,0.000613572915473,0.00220067790447,1,0.164853700976,0,12,True
stable,1000,2,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,2,known_rate_calendar,384,0,0.0206054295608,0.05,0,1,0,0,True
stable,1000,2,plugin_calendar,384,0,0.0206054295608,,0,1,768,0,True
stable,1000,2,plugin_global_TTL,384,0,0.0206054295608,,0,1,768,0,True
stable,1000,2,CP_calendar,384,376,4.5036150379e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,3,joint_clean,384,64.2161005904,0.0134719768309,0.0475235460068,1,0.832770571379,0,12,True
stable,1000,3,singleton_clean,384,225.76357527,0.0019418949061,0.0468129098611,8,0.412074022734,0,12,True
stable,1000,3,pilot_partition,384,64.2161005904,0.0134719768309,0.0475235460068,1,0.832770571379,768,12,True
stable,1000,3,rate_oracle_partition,384,64.2161005904,0.0134719768309,0.0475235460068,1,0.832770571379,0,12,True
stable,1000,3,joint_conditional_PAC,384,327.307009523,0.000609927731016,0.00220067790447,1,0.147637996034,0,12,True
stable,1000,3,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,3,known_rate_calendar,384,0,0.0210845162545,0.05,0,1,0,0,True
stable,1000,3,plugin_calendar,384,0,0.0210845162545,,0,1,768,0,True
stable,1000,3,plugin_global_TTL,384,0,0.0210845162545,,0,1,768,0,True
stable,1000,3,CP_calendar,384,376,4.30533422068e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,4,joint_clean,384,63.3820067888,0.0117146898521,0.0478459937497,1,0.834942690654,0,12,True
stable,1000,4,singleton_clean,384,225.570489866,0.00189599917507,0.0475071777246,8,0.412576849306,0,12,True
stable,1000,4,pilot_partition,384,63.3820067888,0.0117146898521,0.0478459937497,1,0.834942690654,768,12,True
stable,1000,4,rate_oracle_partition,384,63.3820067888,0.0117146898521,0.0478459937497,1,0.834942690654,0,12,True
stable,1000,4,joint_conditional_PAC,384,322.548217968,0.000618864397878,0.00220067790447,1,0.160030682375,0,12,True
stable,1000,4,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,4,known_rate_calendar,384,0,0.0200789286595,0.05,0,1,0,0,True
stable,1000,4,plugin_calendar,384,0,0.0200789286595,,0,1,768,0,True
stable,1000,4,plugin_global_TTL,384,0,0.0200789286595,,0,1,768,0,True
stable,1000,4,CP_calendar,384,376,4.40067831999e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,5,joint_clean,384,62.0457948791,0.0113122161321,0.0497745606212,1,0.838422409169,0,12,True
stable,1000,5,singleton_clean,384,220.60636878,0.00188340728331,0.047853905632,8,0.425504247968,0,12,True
stable,1000,5,pilot_partition,384,76.2304817079,0.0092029812633,0.0483803987714,2,0.801483120552,768,12,True
stable,1000,5,rate_oracle_partition,384,62.0457948791,0.0113122161321,0.0497745606212,1,0.838422409169,0,12,True
stable,1000,5,joint_conditional_PAC,384,325.138566377,0.00057530873854,0.00220067790447,1,0.153284983394,0,12,True
stable,1000,5,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,5,known_rate_calendar,384,0,0.0190365318302,0.05,0,1,0,0,True
stable,1000,5,plugin_calendar,384,2,0.018285393713,,0,0.994791666667,768,0,True
stable,1000,5,plugin_global_TTL,384,28,0.0131343694941,,0,0.927083333333,768,0,True
stable,1000,5,CP_calendar,384,376,3.93453089925e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,6,joint_clean,384,61.2579088367,0.0133926217288,0.0497745606212,1,0.840474195738,0,12,True
stable,1000,6,singleton_clean,384,222.593745664,0.00190687352481,0.0485469828435,8,0.420328787334,0,12,True
stable,1000,6,pilot_partition,384,61.2579088367,0.0133926217288,0.0497745606212,1,0.840474195738,768,12,True
stable,1000,6,rate_oracle_partition,384,61.2579088367,0.0133926217288,0.0497745606212,1,0.840474195738,0,12,True
stable,1000,6,joint_conditional_PAC,384,321.591308339,0.000613840293668,0.00220067790447,1,0.162522634535,0,12,True
stable,1000,6,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,6,known_rate_calendar,384,0,0.0205836900099,0.05,0,1,0,0,True
stable,1000,6,plugin_calendar,384,0,0.0205836900099,,0,1,768,0,True
stable,1000,6,plugin_global_TTL,384,0,0.0205836900099,,0,1,768,0,True
stable,1000,6,CP_calendar,384,376,4.57619417215e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,7,joint_clean,384,64.6078203685,0.0138661387404,0.0497745606212,1,0.83175046779,0,12,True
stable,1000,7,singleton_clean,384,220.934723264,0.00210769720635,0.048200507323,8,0.424649158167,0,12,True
stable,1000,7,pilot_partition,384,64.6078203685,0.0138661387404,0.0497745606212,1,0.83175046779,768,12,True
stable,1000,7,rate_oracle_partition,384,64.6078203685,0.0138661387404,0.0497745606212,1,0.83175046779,0,12,True
stable,1000,7,joint_conditional_PAC,384,322.409221559,0.000675390171017,0.00220067790447,1,0.160392652191,0,12,True
stable,1000,7,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,7,known_rate_calendar,384,0,0.0205268051531,0.05,0,1,0,0,True
stable,1000,7,plugin_calendar,384,0,0.0205268051531,,0,1,768,0,True
stable,1000,7,plugin_global_TTL,384,0,0.0205268051531,,0,1,768,0,True
stable,1000,7,CP_calendar,384,376,4.00738627654e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,8,joint_clean,384,65.1576308291,0.0131399453524,0.0497745606212,1,0.830318669716,0,12,True
stable,1000,8,singleton_clean,384,229.483948952,0.0018337061703,0.0464658028708,8,0.402385549604,0,12,True
stable,1000,8,pilot_partition,384,65.1576308291,0.0131399453524,0.0497745606212,1,0.830318669716,768,12,True
stable,1000,8,rate_oracle_partition,384,65.1576308291,0.0131399453524,0.0497745606212,1,0.830318669716,0,12,True
stable,1000,8,joint_conditional_PAC,384,325.219004566,0.000618781669164,0.00220067790447,1,0.153075508942,0,12,True
stable,1000,8,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,8,known_rate_calendar,384,0,0.0211711089736,0.05,0,1,0,0,True
stable,1000,8,plugin_calendar,384,0,0.0211711089736,,0,1,768,0,True
stable,1000,8,plugin_global_TTL,384,0,0.0211711089736,,0,1,768,0,True
stable,1000,8,CP_calendar,384,376,3.5635621386e-05,0.05,0,0.0208333333333,0,120,False
stable,1000,9,joint_clean,384,62.57138458,0.0122627274447,0.0491328675862,1,0.837053685989,0,12,True
stable,1000,9,singleton_clean,384,229.297511732,0.00176070522952,0.0471601070259,8,0.402871063197,0,12,True
stable,1000,9,pilot_partition,384,101.239109581,0.010638691012,0.0483803987714,2,0.736356485467,768,12,True
stable,1000,9,rate_oracle_partition,384,62.57138458,0.0122627274447,0.0491328675862,1,0.837053685989,0,12,True
stable,1000,9,joint_conditional_PAC,384,326.697962711,0.000571917545476,0.00220067790447,1,0.149224055441,0,12,True
stable,1000,9,audit_all,384,384,-0,,0,0,0,0,True
stable,1000,9,known_rate_calendar,384,0,0.0202515623468,0.05,0,1,0,0,True
stable,1000,9,plugin_calendar,384,4,0.0199028495912,,0,0.989583333333,768,0,True
stable,1000,9,plugin_global_TTL,384,29,0.012578519957,,0,0.924479166667,768,0,True
stable,1000,9,CP_calendar,384,376,3.29861633816e-05,0.05,0,0.0208333333333,0,120,False
stable,5000,0,joint_clean,384,182.828967988,0.012596438049,0.0144275693175,1,0.523882895863,0,12,True
stable,5000,0,singleton_clean,384,88.8949430626,0.00914565963985,0.0436779598825,8,0.768502752441,0,12,True
stable,5000,0,pilot_partition,384,130.098045684,0.0163979519853,0.0271100367739,2,0.661203006033,768,12,True
stable,5000,0,rate_oracle_partition,384,49.3613527186,0.0124626145091,0.0470581904694,6,0.871454810629,0,12,True
stable,5000,0,joint_conditional_PAC,384,247.26656418,0.00207913220001,0.00249310841847,1,0.356076655782,0,12,True
stable,5000,0,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,0,known_rate_calendar,384,0,0.0240443773761,0.05,0,1,0,0,True
stable,5000,0,plugin_calendar,384,2,0.0208035966681,,0,0.994791666667,768,0,True
stable,5000,0,plugin_global_TTL,384,12,0.0172865275955,,0,0.96875,768,0,True
stable,5000,0,CP_calendar,384,342,0.000251857296197,0.05,0,0.109375,0,120,False
stable,5000,1,joint_clean,384,171.527815122,0.0125024477292,0.0143568300041,1,0.553312981452,0,12,True
stable,5000,1,singleton_clean,384,84.6959720802,0.00728368277121,0.0408829300145,8,0.779437572708,0,12,True
stable,5000,1,pilot_partition,384,171.527815122,0.0125024477292,0.0143568300041,1,0.553312981452,768,12,True
stable,5000,1,rate_oracle_partition,384,46.1161401026,0.0116137867646,0.0453093562847,5,0.879905885149,0,12,True
stable,5000,1,joint_conditional_PAC,384,240.138624822,0.00204801453846,0.00249310841847,1,0.374638997858,0,12,True
stable,5000,1,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,1,known_rate_calendar,384,0,0.0225956161311,0.05,0,1,0,0,True
stable,5000,1,plugin_calendar,384,0,0.0225956161311,,0,1,768,0,True
stable,5000,1,plugin_global_TTL,384,0,0.0225956161311,,0,1,768,0,True
stable,5000,1,CP_calendar,384,342,0.000201906007139,0.05,0,0.109375,0,120,False
stable,5000,2,joint_clean,384,167.633953176,0.0116101961906,0.0144275693175,1,0.563453246936,0,12,True
stable,5000,2,singleton_clean,384,85.2123800318,0.00833240683555,0.0460490208131,8,0.778092760334,0,12,True
stable,5000,2,pilot_partition,384,167.633953176,0.0116101961906,0.0144275693175,1,0.563453246936,768,12,True
stable,5000,2,rate_oracle_partition,384,48.3930802887,0.0105865745958,0.046015822363,6,0.873976353415,0,12,True
stable,5000,2,joint_conditional_PAC,384,236.93870255,0.00198385502817,0.00249310841847,1,0.382972128777,0,12,True
stable,5000,2,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,2,known_rate_calendar,384,0,0.0206054295608,0.05,0,1,0,0,True
stable,5000,2,plugin_calendar,384,0,0.0206054295608,,0,1,768,0,True
stable,5000,2,plugin_global_TTL,384,0,0.0206054295608,,0,1,768,0,True
stable,5000,2,CP_calendar,384,342,0.000236417162876,0.05,0,0.109375,0,120,False
stable,5000,3,joint_clean,384,174.551051408,0.0115003379195,0.0142860769503,1,0.545439970292,0,12,True
stable,5000,3,singleton_clean,384,86.1616495071,0.00788412098592,0.0421444540744,8,0.775620704409,0,12,True
stable,5000,3,pilot_partition,384,174.551051408,0.0115003379195,0.0142860769503,1,0.545439970292,768,12,True
stable,5000,3,rate_oracle_partition,384,49.0205282086,0.0123622368632,0.0448980573885,5,0.872342374457,0,12,True
stable,5000,3,joint_conditional_PAC,384,241.640167754,0.00203544909761,0.00242002261501,1,0.370728729808,0,12,True
stable,5000,3,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,3,known_rate_calendar,384,0,0.0210845162545,0.05,0,1,0,0,True
stable,5000,3,plugin_calendar,384,0,0.0210845162545,,0,1,768,0,True
stable,5000,3,plugin_global_TTL,384,0,0.0210845162545,,0,1,768,0,True
stable,5000,3,CP_calendar,384,342,0.000226009368434,0.05,0,0.109375,0,120,False
stable,5000,4,joint_clean,384,168.84166346,0.0112503877341,0.0141445296028,1,0.560308168074,0,12,True
stable,5000,4,singleton_clean,384,83.7887432132,0.00770782511277,0.042493386545,8,0.781800147882,0,12,True
stable,5000,4,pilot_partition,384,168.84166346,0.0112503877341,0.0141445296028,1,0.560308168074,768,12,True
stable,5000,4,rate_oracle_partition,384,45.7939622384,0.0130759631706,0.046730888693,5,0.880744890004,0,12,True
stable,5000,4,joint_conditional_PAC,384,237.759568133,0.00203085126984,0.00249310841847,1,0.380834457988,0,12,True
stable,5000,4,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,4,known_rate_calendar,384,0,0.0200789286595,0.05,0,1,0,0,True
stable,5000,4,plugin_calendar,384,0,0.0200789286595,,0,1,768,0,True
stable,5000,4,plugin_global_TTL,384,0,0.0200789286595,,0,1,768,0,True
stable,5000,4,CP_calendar,384,342,0.000231014007669,0.05,0,0.109375,0,120,False
stable,5000,5,joint_clean,384,167.346492564,0.0107404463293,0.0144275693175,1,0.564201842281,0,12,True
stable,5000,5,singleton_clean,384,80.8794099269,0.00743290527505,0.041020813112,8,0.789376536649,0,12,True
stable,5000,5,pilot_partition,384,136.380522879,0.01292188353,0.0285772651615,2,0.644842388335,768,12,True
stable,5000,5,rate_oracle_partition,384,47.7379259318,0.0130844583291,0.0454162677693,5,0.875682484553,0,12,True
stable,5000,5,joint_conditional_PAC,384,231.101300742,0.00211112608377,0.00249310841847,1,0.398173695985,0,12,True
stable,5000,5,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,5,known_rate_calendar,384,0,0.0190365318302,0.05,0,1,0,0,True
stable,5000,5,plugin_calendar,384,2,0.018285393713,,0,0.994791666667,768,0,True
stable,5000,5,plugin_global_TTL,384,28,0.0131343694941,,0,0.927083333333,768,0,True
stable,5000,5,CP_calendar,384,342,0.000206545602477,0.05,0,0.109375,0,120,False
stable,5000,6,joint_clean,384,167.695071551,0.0115946708198,0.0144275693175,1,0.563294084502,0,12,True
stable,5000,6,singleton_clean,384,83.4894194776,0.00801950538129,0.0440994067463,8,0.782579636777,0,12,True
stable,5000,6,pilot_partition,384,167.695071551,0.0115946708198,0.0144275693175,1,0.563294084502,768,12,True
stable,5000,6,rate_oracle_partition,384,47.0626359037,0.0108461839265,0.0467715510588,6,0.877441052334,0,12,True
stable,5000,6,joint_conditional_PAC,384,238.106832114,0.00197871593851,0.00249310841847,1,0.379930124703,0,12,True
stable,5000,6,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,6,known_rate_calendar,384,0,0.0205836900099,0.05,0,1,0,0,True
stable,5000,6,plugin_calendar,384,0,0.0205836900099,,0,1,768,0,True
stable,5000,6,plugin_global_TTL,384,0,0.0205836900099,,0,1,768,0,True
stable,5000,6,CP_calendar,384,342,0.000240226832276,0.05,0,0.109375,0,120,False
stable,5000,7,joint_clean,384,181.502581996,0.0108245443838,0.0144275693175,1,0.527337026053,0,12,True
stable,5000,7,singleton_clean,384,82.9081281175,0.00870570630065,0.0448650314232,8,0.784093416361,0,12,True
stable,5000,7,pilot_partition,384,181.502581996,0.0108245443838,0.0144275693175,1,0.527337026053,768,12,True
stable,5000,7,rate_oracle_partition,384,51.1900954795,0.0135751914708,0.0453512103216,5,0.866692459689,0,12,True
stable,5000,7,joint_conditional_PAC,384,244.783025122,0.00210871978773,0.00242002261501,1,0.362544205411,0,12,True
stable,5000,7,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,7,known_rate_calendar,384,0,0.0205268051531,0.05,0,1,0,0,True
stable,5000,7,plugin_calendar,384,0,0.0205268051531,,0,1,768,0,True
stable,5000,7,plugin_global_TTL,384,0,0.0205268051531,,0,1,768,0,True
stable,5000,7,CP_calendar,384,342,0.000210369864313,0.05,0,0.109375,0,120,False
stable,5000,8,joint_clean,384,168.822811512,0.0118633846514,0.0144275693175,1,0.560357261688,0,12,True
stable,5000,8,singleton_clean,384,91.4063203947,0.00768904636389,0.0424930886575,8,0.761962707306,0,12,True
stable,5000,8,pilot_partition,384,168.822811512,0.0118633846514,0.0144275693175,1,0.560357261688,768,12,True
stable,5000,8,rate_oracle_partition,384,49.4641846524,0.0129095086345,0.046488236949,5,0.871187019134,0,12,True
stable,5000,8,joint_conditional_PAC,384,241.669255531,0.00198275089892,0.00249310841847,1,0.370652980387,0,12,True
stable,5000,8,audit_all,384,384,-0,,0,0,0,0,True
stable,5000,8,known_rate_calendar,384,0,0.0211711089736,0.05,0,1,0,0,True
stable,5000,8,plugin_calendar,384,0,0.0211711089736,,0,1,768,0,True
stable,5000,8,plugin_global_TTL,384,0,0.0211711089736,,0,1,768,0,True
stable,5000,8,CP_calendar,384,342,0.000187072845529,0.05,0,0.109375,0,120,False
stable,5000,9,joint_clean,384,163.056276306,0.0116522281133,0.0142860769503,1,0.575374280454,0,12,True
