history,scale,rep,audit_cost,conditional_risk,false_conditional_claim,interval_miss
100,0.0005,50,64,-0,0,0
100,0.0005,51,64,-0,0,0
100,0.0005,52,64,-0,0,0
100,0.0005,53,64,-0,0,0
100,0.0005,54,64,-0,0,0
100,0.0005,55,64,-0,0,0
100,0.0005,56,64,-0,0,0
100,0.0005,57,64,-0,0,0
100,0.0005,58,64,-0,0,0
100,0.0005,59,64,-0,0,0
100,0.0005,60,64,-0,0,0
100,0.0005,61,64,-0,0,0
100,0.0005,62,64,-0,0,0
100,0.0005,63,64,-0,0,0
100,0.0005,64,64,-0,0,0
100,0.0005,65,64,-0,0,0
100,0.0005,66,64,-0,0,0
100,0.0005,67,64,-0,0,0
100,0.0005,68,64,-0,0,0
100,0.0005,69,64,-0,0,0
100,0.0005,70,64,-0,0,0
100,0.0005,71,64,-0,0,0
100,0.0005,72,64,-0,0,0
100,0.0005,73,64,-0,0,0
100,0.0005,74,64,-0,0,0
100,0.0005,75,64,-0,0,0
100,0.0005,76,64,-0,0,0
100,0.0005,77,64,-0,0,0
100,0.0005,78,64,-0,0,0
100,0.0005,79,64,-0,0,0
100,0.0005,80,64,-0,0,0
100,0.0005,81,64,-0,0,0
100,0.0005,82,64,-0,0,0
100,0.0005,83,64,-0,0,0
100,0.0005,84,64,-0,0,0
100,0.0005,85,64,-0,0,0
100,0.0005,86,64,-0,0,0
100,0.0005,87,64,-0,0,0
100,0.0005,88,64,-0,0,0
100,0.0005,89,64,-0,0,0
100,0.0005,90,64,-0,0,0
100,0.0005,91,64,-0,0,0
100,0.0005,92,64,-0,0,0
100,0.0005,93,64,-0,0,0
100,0.0005,94,64,-0,0,0
100,0.0005,95,64,-0,0,0
100,0.0005,96,64,-0,0,0
100,0.0005,97,64,-0,0,0
100,0.0005,98,64,-0,0,0
100,0.0005,99,64,-0,0,0
100,0.0005,100,64,-0,0,0
100,0.0005,101,64,-0,0,0
100,0.0005,102,64,-0,0,0
100,0.0005,103,64,-0,0,0
100,0.0005,104,64,-0,0,0
100,0.0005,105,64,-0,0,0
100,0.0005,106,64,-0,0,0
100,0.0005,107,64,-0,0,0
100,0.0005,108,64,-0,0,0
100,0.0005,109,64,-0,0,0
100,0.0005,110,64,-0,0,0
100,0.0005,111,64,-0,0,0
100,0.0005,112,64,-0,0,0
100,0.0005,113,64,-0,0,0
100,0.0005,114,64,-0,0,0
100,0.0005,115,64,-0,0,0
100,0.0005,116,64,-0,0,0
100,0.0005,117,64,-0,0,0
100,0.0005,118,64,-0,0,0
100,0.0005,119,64,-0,0,0
100,0.0005,120,64,-0,0,0
100,0.0005,121,64,-0,0,0
100,0.0005,122,64,-0,0,0
100,0.0005,123,64,-0,0,0
100,0.0005,124,64,-0,0,0
100,0.0005,125,64,-0,0,0
100,0.0005,126,64,-0,0,0
100,0.0005,127,64,-0,0,0
100,0.0005,128,64,-0,0,0
100,0.0005,129,64,-0,0,0
100,0.0005,130,64,-0,0,0
100,0.0005,131,64,-0,0,0
100,0.0005,132,64,-0,0,0
100,0.0005,133,64,-0,0,0
100,0.0005,134,64,-0,0,0
100,0.0005,135,64,-0,0,0
100,0.0005,136,64,-0,0,0
100,0.0005,137,64,-0,0,0
100,0.0005,138,64,-0,0,0
100,0.0005,139,64,-0,0,0
100,0.0005,140,64,-0,0,0
100,0.0005,141,64,-0,0,0
100,0.0005,142,64,-0,0,0
100,0.0005,143,64,-0,0,0
100,0.0005,144,64,-0,0,0
100,0.0005,145,64,-0,0,0
100,0.0005,146,64,-0,0,0
100,0.0005,147,64,-0,0,0
100,0.0005,148,64,-0,0,0
100,0.0005,149,64,-0,0,0
100,0.0005,150,64,-0,0,0
100,0.0005,151,64,-0,0,0
100,0.0005,152,64,-0,0,0
100,0.0005,153,64,-0,0,0
100,0.0005,154,64,-0,0,0
100,0.0005,155,64,-0,0,0
100,0.0005,156,64,-0,0,0
100,0.0005,157,64,-0,0,0
100,0.0005,158,64,-0,0,0
100,0.0005,159,64,-0,0,0
100,0.0005,160,64,-0,0,0
100,0.0005,161,64,-0,0,0
100,0.0005,162,64,-0,0,0
100,0.0005,163,64,-0,0,0
100,0.0005,164,64,-0,0,0
100,0.0005,165,64,-0,0,0
100,0.0005,166,64,-0,0,0
100,0.0005,167,64,-0,0,0
100,0.0005,168,64,-0,0,0
100,0.0005,169,64,-0,0,0
100,0.0005,170,64,-0,0,0
100,0.0005,171,64,-0,0,0
100,0.0005,172,64,-0,0,0
100,0.0005,173,64,-0,0,0
100,0.0005,174,64,-0,0,0
100,0.0005,175,64,-0,0,0
100,0.0005,176,64,-0,0,0
100,0.0005,177,64,-0,0,0
100,0.0005,178,64,-0,0,0
100,0.0005,179,64,-0,0,0
100,0.0005,180,64,-0,0,0
100,0.0005,181,64,-0,0,0
100,0.0005,182,64,-0,0,0
100,0.0005,183,64,-0,0,0
100,0.0005,184,64,-0,0,0
100,0.0005,185,64,-0,0,0
100,0.0005,186,64,-0,0,0
100,0.0005,187,64,-0,0,0
